t,u,y
0.00000000,0.43179172,70.71428680
0.02000000,0.43179172,77.14286041
0.04000000,0.43179172,70.71428680
0.06000000,0.43179172,70.71428680
0.08000000,0.43179172,70.71428680
0.10000000,0.43179172,64.28572083
0.12000000,0.43179172,70.71428680
0.14000000,0.43179172,70.71428680
0.16000000,0.43179172,64.28572083
0.18000000,0.43179172,70.71428680
0.20000000,0.43179172,64.28572083
0.22000000,0.43179172,70.71428680
0.24000000,0.43179172,64.28572083
0.26000000,0.43179172,64.28572083
0.28000000,0.43179172,57.85714340
0.30000000,0.43179172,64.28572083
0.32000000,0.43179172,57.85714340
0.34000000,0.43179172,51.42857361
0.36000000,0.43179172,57.85714340
0.38000000,0.43179172,51.42857361
0.40000000,0.43179172,57.85714340
0.42000000,0.43179172,64.28572083
0.44000000,0.43179172,64.28572083
0.46000000,0.43179172,64.28572083
0.48000000,0.43179172,64.28572083
0.50000000,0.43179172,57.85714340
0.52000000,0.43179172,57.85714340
0.54000000,0.43179172,57.85714340
0.56000000,0.43179172,57.85714340
0.58000000,0.43179172,57.85714340
0.60000000,0.43179172,57.85714340
0.62000000,0.43179172,64.28572083
0.64000000,0.43179172,64.28572083
0.66000000,0.43179172,64.28572083
0.68000000,0.43179172,57.85714340
0.70000000,0.43179172,57.85714340
0.72000000,0.43179172,57.85714340
0.74000000,0.43179172,57.85714340
0.76000000,0.43179172,57.85714340
0.78000000,0.43179172,64.28572083
0.80000000,0.43179172,57.85714340
0.82000000,0.43179172,64.28572083
0.84000000,0.43179172,64.28572083
0.86000000,0.43179172,57.85714340
0.88000000,0.43179172,57.85714340
0.90000000,0.43179172,57.85714340
0.92000000,0.43179172,57.85714340
0.94000000,0.43179172,64.28572083
0.96000000,0.43179172,57.85714340
0.98000000,0.43179172,64.28572083
1.00000000,0.43179172,57.85714340
1.02000000,0.43179172,57.85714340
1.04000000,0.43179172,57.85714340
1.06000000,0.43179172,64.28572083
1.08000000,0.43179172,57.85714340
1.10000000,0.43179172,64.28572083
1.12000000,0.43179172,57.85714340
1.14000000,0.43179172,64.28572083
1.16000000,0.43179172,57.85714340
1.18000000,0.43179172,57.85714340
1.20000000,0.43179172,57.85714340
1.22000000,0.43179172,57.85714340
1.24000000,0.43179172,64.28572083
1.26000000,0.43179172,64.28572083
1.28000000,0.43179172,57.85714340
1.30000000,0.43179172,57.85714340
1.32000000,0.43179172,64.28572083
1.34000000,0.43179172,57.85714340
1.36000000,0.43179172,57.85714340
1.38000000,0.43179172,64.28572083
1.40000000,0.43179172,57.85714340
1.42000000,0.43179172,57.85714340
1.44000000,0.43179172,57.85714340
1.46000000,0.43179172,57.85714340
1.48000000,0.43179172,64.28572083
1.50000000,0.43179172,57.85714340
1.52000000,0.43179172,64.28572083
1.54000000,0.43179172,57.85714340
1.56000000,0.43179172,64.28572083
1.58000000,0.43179172,57.85714340
1.60000000,0.43179172,57.85714340
1.62000000,0.43179172,57.85714340
1.64000000,0.43179172,57.85714340
1.66000000,0.43179172,64.28572083
1.68000000,0.43179172,57.85714340
1.70000000,0.43179172,64.28572083
1.72000000,0.43179172,57.85714340
1.74000000,0.43179172,57.85714340
1.76000000,0.43179172,57.85714340
1.78000000,0.43179172,64.28572083
1.80000000,0.43179172,57.85714340
1.82000000,0.43179172,57.85714340
1.84000000,0.43179172,64.28572083
