t,u,y
0.00000000,0.54701257,257.14288330
0.02000000,0.54701257,257.14288330
0.04000000,0.54701257,257.14288330
0.06000000,0.54701257,263.57147217
0.08000000,0.54701257,257.14288330
0.10000000,0.54701257,263.57147217
0.12000000,0.54701257,257.14288330
0.14000000,0.54701257,257.14288330
0.16000000,0.54701257,263.57147217
0.18000000,0.54701257,257.14288330
0.20000000,0.54701257,263.57147217
0.22000000,0.54701257,257.14288330
0.24000000,0.54701257,257.14288330
0.26000000,0.54701257,263.57147217
0.28000000,0.54701257,263.57147217
0.30000000,0.54701257,257.14288330
0.32000000,0.54701257,263.57147217
0.34000000,0.54701257,257.14288330
0.36000000,0.54701257,257.14288330
0.38000000,0.54701257,257.14288330
0.40000000,0.54701257,263.57147217
0.42000000,0.54701257,263.57147217
0.44000000,0.54701257,257.14288330
0.46000000,0.54701257,257.14288330
0.48000000,0.54701257,263.57147217
0.50000000,0.54701257,263.57147217
0.52000000,0.54701257,257.14288330
0.54000000,0.54701257,257.14288330
0.56000000,0.54701257,263.57147217
0.58000000,0.54701257,263.57147217
0.60000000,0.54701257,257.14288330
0.62000000,0.54701257,257.14288330
0.64000000,0.54701257,263.57147217
0.66000000,0.54701257,263.57147217
0.68000000,0.54701257,257.14288330
0.70000000,0.54701257,257.14288330
0.72000000,0.54701257,263.57147217
0.74000000,0.54701257,257.14288330
0.76000000,0.54701257,257.14288330
0.78000000,0.54701257,257.14288330
0.80000000,0.54701257,263.57147217
0.82000000,0.54701257,263.57147217
0.84000000,0.54701257,257.14288330
0.86000000,0.54701257,263.57147217
0.88000000,0.54701257,257.14288330
0.90000000,0.54701257,263.57147217
0.92000000,0.54701257,257.14288330
0.94000000,0.54701257,257.14288330
0.96000000,0.54701257,263.57147217
0.98000000,0.54701257,263.57147217
1.00000000,0.54701257,257.14288330
1.02000000,0.54701257,257.14288330
1.04000000,0.54701257,257.14288330
1.06000000,0.54701257,263.57147217
1.08000000,0.54701257,257.14288330
1.10000000,0.54701257,263.57147217
1.12000000,0.54701257,257.14288330
1.14000000,0.54701257,257.14288330
1.16000000,0.54701257,257.14288330
1.18000000,0.54701257,257.14288330
1.20000000,0.54701257,263.57147217
1.22000000,0.54701257,257.14288330
1.24000000,0.54701257,257.14288330
1.26000000,0.54701257,257.14288330
1.28000000,0.54701257,257.14288330
1.30000000,0.54701257,257.14288330
1.32000000,0.54701257,263.57147217
1.34000000,0.54701257,257.14288330
1.36000000,0.54701257,263.57147217
1.38000000,0.54701257,257.14288330
1.40000000,0.54701257,257.14288330
1.42000000,0.54701257,263.57147217
1.44000000,0.54701257,257.14288330
1.46000000,0.54701257,263.57147217
1.48000000,0.54701257,257.14288330
1.50000000,0.54701257,257.14288330
1.52000000,0.54701257,263.57147217
1.54000000,0.54701257,257.14288330
1.56000000,0.54701257,263.57147217
1.58000000,0.54701257,257.14288330
1.60000000,0.54701257,257.14288330
1.62000000,0.54701257,263.57147217
1.64000000,0.54701257,257.14288330
1.66000000,0.54701257,263.57147217
1.68000000,0.54701257,257.14288330
1.70000000,0.54701257,257.14288330
1.72000000,0.54701257,263.57147217
1.74000000,0.54701257,257.14288330
1.76000000,0.54701257,263.57147217
