t,r,y,u
0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,0.00000000,0.00000000,0.00000000
0.04000000,0.00000000,0.00000000,0.00000000
0.06000000,0.00000000,0.00000000,0.00000000
0.08000000,0.00000000,0.00000000,0.00000000
0.10000000,0.00000000,0.00000000,0.00000000
0.12000000,0.00000000,0.00000000,0.00000000
0.14000000,0.00000000,0.00000000,0.00000000
0.16000000,0.00000000,0.00000000,0.00000000
0.18000000,0.00000000,0.00000000,0.00000000
0.20000000,0.00000000,0.00000000,0.00000000
0.22000000,0.00000000,0.00000000,0.00000000
0.24000000,0.00000000,0.00000000,0.00000000
0.26000000,0.00000000,0.00000000,0.00000000
0.28000000,0.00000000,0.00000000,0.00000000
0.30000000,0.00000000,0.00000000,0.00000000
0.32000000,0.00000000,0.00000000,0.00000000
0.34000000,0.00000000,0.00000000,0.00000000
0.36000000,0.00000000,0.00000000,0.00000000
0.38000000,0.00000000,0.00000000,0.00000000
0.40000000,0.00000000,0.00000000,0.00000000
0.42000000,0.00000000,0.00000000,0.00000000
0.44000000,0.00000000,0.00000000,0.00000000
0.46000000,0.00000000,0.00000000,0.00000000
0.48000000,0.00000000,0.00000000,0.00000000
0.50000000,360.00000000,0.00000000,0.00000000
0.52000000,360.00000000,102.85714722,2.57746696
0.54000000,360.00000000,237.85716248,2.34821320
0.56000000,360.00000000,321.42858887,1.74392390
0.58000000,360.00000000,353.57144165,1.31765735
0.60000000,360.00000000,372.85717773,1.14186561
0.62000000,360.00000000,379.28573608,1.01284325
0.64000000,360.00000000,379.28573608,0.94870406
0.66000000,360.00000000,385.71432495,0.92153448
0.68000000,360.00000000,379.28573608,0.84833860
0.70000000,360.00000000,379.28573608,0.85813874
0.72000000,360.00000000,372.85717773,0.83096915
0.74000000,360.00000000,379.28573608,0.84982568
0.76000000,360.00000000,372.85717773,0.78568649
0.78000000,360.00000000,366.42858887,0.80454302
0.80000000,360.00000000,366.42858887,0.83245623
0.82000000,360.00000000,366.42858887,0.82339966
0.84000000,360.00000000,366.42858887,0.81434309
0.86000000,360.00000000,366.42858887,0.80528653
0.88000000,360.00000000,366.42858887,0.79622996
0.90000000,360.00000000,360.00003052,0.78717339
0.92000000,360.00000000,360.00003052,0.82414293
0.94000000,360.00000000,360.00003052,0.82414287
0.96000000,360.00000000,360.00003052,0.82414281
