t,r,y,u
0.98000000,360.00000000,360.00003052,0.82414275
1.00000000,360.00000000,353.57144165,0.82414269
1.02000000,360.00000000,353.57144165,0.87016898
1.04000000,360.00000000,366.42858887,0.87922549
1.06000000,360.00000000,360.00003052,0.79622954
1.08000000,360.00000000,360.00003052,0.83319908
1.10000000,360.00000000,360.00003052,0.83319902
1.12000000,360.00000000,360.00003052,0.83319896
1.14000000,360.00000000,360.00003052,0.83319890
1.16000000,360.00000000,353.57144165,0.83319885
1.18000000,360.00000000,360.00003052,0.87922513
1.20000000,360.00000000,360.00003052,0.84225529
1.22000000,360.00000000,366.42858887,0.84225523
1.24000000,360.00000000,360.00003052,0.79622906
1.26000000,360.00000000,366.42858887,0.83319861
1.28000000,360.00000000,360.00003052,0.78717244
1.30000000,360.00000000,360.00003052,0.82414198
1.32000000,360.00000000,366.42858887,0.82414192
1.34000000,360.00000000,366.42858887,0.77811575
1.36000000,360.00000000,360.00003052,0.76905918
1.38000000,360.00000000,360.00003052,0.80602872
1.40000000,360.00000000,360.00003052,0.80602866
1.42000000,360.00000000,366.42858887,0.80602860
1.44000000,360.00000000,366.42858887,0.76000243
1.46000000,360.00000000,360.00003052,0.75094587
1.48000000,360.00000000,360.00003052,0.78791541
1.50000000,360.00000000,366.42858887,0.78791535
1.52000000,360.00000000,366.42858887,0.74188918
1.54000000,360.00000000,360.00003052,0.73283261
1.56000000,360.00000000,360.00003052,0.76980215
1.58000000,360.00000000,360.00003052,0.76980209
1.60000000,360.00000000,360.00003052,0.76980203
1.62000000,360.00000000,360.00003052,0.76980197
1.64000000,360.00000000,360.00003052,0.76980191
1.66000000,360.00000000,360.00003052,0.76980186
1.68000000,360.00000000,360.00003052,0.76980180
1.70000000,360.00000000,360.00003052,0.76980174
1.72000000,360.00000000,360.00003052,0.76980168
1.74000000,360.00000000,360.00003052,0.76980162
1.76000000,360.00000000,360.00003052,0.76980156
1.78000000,360.00000000,360.00003052,0.76980150
1.80000000,360.00000000,360.00003052,0.76980144
1.82000000,360.00000000,360.00003052,0.76980138
1.84000000,360.00000000,360.00003052,0.76980132
1.86000000,360.00000000,360.00003052,0.76980126
1.88000000,360.00000000,360.00003052,0.76980120
1.90000000,360.00000000,360.00003052,0.76980114
1.92000000,360.00000000,360.00003052,0.76980108
1.94000000,360.00000000,360.00003052,0.76980102
1.96000000,360.00000000,360.00003052,0.76980096
1.98000000,360.00000000,360.00003052,0.76980090
2.00000000,360.00000000,360.00003052,0.76980084
2.02000000,360.00000000,360.00003052,0.76980078
2.04000000,360.00000000,360.00003052,0.76980072
2.06000000,360.00000000,360.00003052,0.76980066
2.08000000,360.00000000,360.00003052,0.76980060
2.10000000,360.00000000,360.00003052,0.76980054
2.12000000,360.00000000,360.00003052,0.76980048
2.14000000,360.00000000,360.00003052,0.76980042
2.16000000,360.00000000,360.00003052,0.76980036
2.18000000,360.00000000,360.00003052,0.76980031
2.20000000,360.00000000,360.00003052,0.76980025
2.22000000,360.00000000,360.00003052,0.76980019
2.24000000,360.00000000,353.57144165,0.76980013
2.26000000,360.00000000,366.42858887,0.81582642
2.28000000,360.00000000,360.00003052,0.73283046
2.30000000,360.00000000,353.57144165,0.76980001
2.32000000,360.00000000,366.42858887,0.81582630
2.34000000,360.00000000,360.00003052,0.73283035
2.36000000,360.00000000,360.00003052,0.76979989
2.38000000,360.00000000,360.00003052,0.76979983
2.40000000,360.00000000,360.00003052,0.76979977
2.42000000,360.00000000,360.00003052,0.76979971
2.44000000,360.00000000,360.00003052,0.76979965
2.46000000,360.00000000,360.00003052,0.76979959
2.48000000,360.00000000,360.00003052,0.76979953
