u,y
-5.00000000,-693.00006104
-4.52693319,-687.60008423
-4.09862471,-680.65721924
-3.71083999,-670.37147705
-3.35974479,-657.12863037
-3.04186797,-645.94290039
-2.75406647,-631.67147583
-2.49349499,-617.78574219
-2.25757694,-597.98575439
-2.04397988,-579.72861816
-1.85059214,-564.68573120
-1.67550135,-546.55716064
-1.51697648,-523.41436279
-1.37345016,-496.15717712
-1.24350345,-473.65717407
-1.12585139,-458.48573059
-1.01933074,-421.07147217
-0.92288840,-374.52860291
-0.83557081,-366.68573792
-0.75651461,-350.35716248
-0.68493825,-315.25717102
-0.62013388,-281.95714905
-0.56146091,-239.27144836
-0.50833923,-207.77144287
-0.46024352,-160.32858002
-0.41669834,-125.22858170
-0.37727308,-90.00000763
-0.34157801,-60.04285973
-0.30926016,0.00000000
-0.28000000,0.00000000
0.28000000,0.00000000
0.30926016,0.00000000
0.34157801,10.02857185
0.37727308,60.04285973
0.41669834,96.42858078
0.46024352,149.78572937
0.50833923,179.87144379
0.56146091,239.91430603
0.62013388,274.88572754
0.68493825,313.45716919
0.75651461,360.00003052
0.83557081,384.68575073
0.92288840,420.04289795
1.01933074,450.00005371
1.12585139,478.41431946
1.24350345,508.11432251
1.37345016,532.41433716
1.51697648,561.60003540
1.67550135,588.98578613
1.85059214,603.38576416
2.04397988,621.12860840
2.25757694,639.64288452
2.49349499,656.61434814
2.75406647,670.62862061
3.04186797,678.08578369
3.35974479,688.75723267
3.71083999,698.01431274
4.09862471,707.27145508
4.52693319,719.74291748
5.00000000,726.30007202
